PatientID,Species,Age_years,Analyte,Unit,IDEXX,MS200V,AbsoluteDiff,PercentBias
P036,Feline,,PHOS,mmol/L,1.8088,1.97,0.1612,8.911985846970367
P037,Feline,,PHOS,mmol/L,1.4535,1.53,0.0765,5.263157894736843
P038,Feline,,PHOS,mmol/L,1.6796,2.0,0.3204,19.075970469159326
P039,Feline,,PHOS,mmol/L,1.7765,1.88,0.1034999999999999,5.826062482409228
P040,Feline,7.0,PHOS,mmol/L,1.9057,1.93,0.0242999999999999,1.2751220024138106
P041,Feline,3.0,PHOS,mmol/L,1.3566,1.36,0.0034,0.2506265664160452
P042,Feline,2.0,PHOS,mmol/L,2.0349,2.32,0.2850999999999999,14.01051648729667
P043,Feline,,PHOS,mmol/L,2.8101,2.8,-0.0100999999999999,-0.3594178143126578
P044,Feline,5.0,PHOS,mmol/L,2.261,2.11,-0.1510000000000002,-6.6784608580274325
P045,Feline,2.0,PHOS,mmol/L,2.0349,2.14,0.1051000000000002,5.164872966730562
P046,Feline,,PHOS,mmol/L,1.9057,1.77,-0.1356999999999999,-7.120743034055724
P047,Feline,2.0,PHOS,mmol/L,2.4548,2.27,-0.1848,-7.528108196187065
P048,Feline,,PHOS,mmol/L,1.6796,1.76,0.0804,4.786854012860207
P049,Feline,2.0,PHOS,mmol/L,1.9057,1.84,-0.0656999999999998,-3.447552080600297
P050,Feline,2.0,PHOS,mmol/L,2.1318,1.87,-0.2618,-12.280701754385966
P051,Feline,,PHOS,mmol/L,3.0362,2.79,-0.2461999999999999,-8.108820235821092
P052,Feline,,PHOS,mmol/L,1.9057,1.78,-0.1256999999999999,-6.596001469276377
P053,Feline,,PHOS,mmol/L,2.261,2.17,-0.0910000000000001,-4.024767801857593
P054,Feline,,PHOS,mmol/L,1.8734,1.72,-0.1533999999999999,-8.188320700330948
P061,Canine,9.0,PHOS,mmol/L,1.4535,1.41,-0.0435,-2.992776057791544
P062,Canine,2.0,PHOS,mmol/L,1.3243,1.42,0.0956999999999999,7.226459261496632
P063,Canine,10.0,PHOS,mmol/L,1.5181,1.71,0.1918999999999999,12.640801001251562
P064,Canine,6.0,PHOS,mmol/L,1.3243,1.24,-0.0843,-6.365627123763501
P065,Canine,0.8,PHOS,mmol/L,2.0026,2.17,0.1673999999999997,8.359133126934973
P066,Canine,12.0,PHOS,mmol/L,1.5181,1.64,0.1218999999999999,8.029774059679855
P067,Canine,2.0,PHOS,mmol/L,1.4858,1.49,0.0041999999999999,0.2826759994615682
P068,Canine,2.0,PHOS,mmol/L,1.4858,1.72,0.2341999999999999,15.762552160452278
P069,Canine,9.0,PHOS,mmol/L,1.3566,1.29,-0.0665999999999999,-4.909332153914197
P070,Canine,3.0,PHOS,mmol/L,1.2274,1.25,0.0225999999999999,1.841290532833628
P071,Canine,12.0,PHOS,mmol/L,1.4535,1.44,-0.0135,-0.9287925696594472
